text|rating|product_id|product_name
Tiểu thuyết hay! Cốt truyện hấp dẫn. Dịch lưu loát. Bìa đẹp mắt.|5|18|Sherlock Holmes
Trinh thám hay! Giấy tốt, in rõ. Nhưng giao hơi lâu.|4|18|Sherlock Holmes
Truyện hay nhưng bản dịch lỗi nhiều. Giá rẻ, bìa mềm.|3|18|Sherlock Holmes
Sách thiếu nhi hay! Hình minh họa đẹp. Giấy bóng, màu sắc tươi.|5|19|Hoàng Tử Bé
Câu chuyện ý nghĩa. Dịch đẹp. Bìa cứng, chất lượng cao.|5|19|Hoàng Tử Bé
Hay cho cả người lớn. Giá tốt. Đóng gói cẩn thận.|5|19|Hoàng Tử Bé
Tiểu thuyết lãng mạn hay! Cảm động. Dịch tốt. Bìa xinh, giấy thơm.|5|20|Mắt Biếc
Truyện buồn quá. Giấy mỏng, bìa mềm. Giá rẻ.|3|20|Mắt Biếc
Văn chương Việt đẹp! Lối kể hay. Chất lượng tốt, giao nhanh.|5|20|Mắt Biếc
Sách nấu ăn hay! Công thức đơn giản. Hình ảnh đẹp, giấy bóng.|5|21|Món Việt
Recipes dễ làm. Nhưng một số trang bị dính mực. Giá ok.|3|21|Món Việt
Bổ ích cho nội trợ. Hình ảnh full màu. Bìa cứng, giấy dày.|5|21|Món Việt
Du lịch cẩm nang tốt! Info chi tiết. Map rõ ràng. Giấy dày, bền.|5|22|Cẩm Nang Du Lịch
Hữu ích nhưng info cũ. Một số địa điểm không còn. Giá hợp lý.|3|22|Cẩm Nang Du Lịch
Perfect cho backpacker! Tips hay. Bìa mềm, nhẹ, dễ mang.|5|22|Cẩm Nang Du Lịch
Yoga guide hay! Hình minh họa rõ ràng. Giấy tốt, bìa bóng.|5|23|Yoga Cơ Bản
Instructions dễ hiểu. Nhưng in hơi mờ. Giá rẻ.|3|23|Yoga Cơ Bản
Bổ ích cho beginner. Poses đa dạng. Chất lượng ổn.|4|23|Yoga Cơ Bản
Sách fitness hay! Workout plans chi tiết. Giấy bóng, hình ảnh đẹp.|5|24|Gym Cho Người Mới
Exercises đơn giản. Nhưng thiếu video demo. Bìa mềm.|3|24|Gym Cho Người Mới
Practical guide! Nutrition info hay. Giao đúng hẹn.|5|24|Gym Cho Người Mới
Sách thai giáo hay! Kiến thức y khoa chuẩn. Hình ảnh minh họa đầy đủ.|5|25|Mẹ Bầu Khỏe Mạnh
Bổ ích cho mẹ bầu. Dễ hiểu. Giấy tốt, bìa cứng.|5|25|Mẹ Bầu Khỏe Mạnh
Info chi tiết. Nhưng hơi nhiều text. Giá hợp lý.|4|25|Mẹ Bầu Khỏe Mạnh
Nuôi con khoa học! Tips thực tế. Giấy tốt, dễ đọc.|5|26|Nuôi Con Thông Minh
Hay cho ba mẹ mới. Giá tốt. Nhưng bìa hơi nhăn.|4|26|Nuôi Con Thông Minh
Must-have cho parents! Examples nhiều. Chất lượng cao.|5|26|Nuôi Con Thông Minh
Sách làm vườn hay! Hướng dẫn chi tiết. Hình ảnh đẹp, giấy bóng.|5|27|Vườn Rau Sạch
Dễ áp dụng. Nhưng thiếu tips chăm sóc. Bìa mềm.|3|27|Vườn Rau Sạch
Bổ ích cho người thích trồng cây. Giá ok, giao nhanh.|4|27|Vườn Rau Sạch
Design thinking hay! Case studies thực tế. In ấn đẹp, giấy tốt.|5|28|Creative Design
Nội dung chất lượng. Nhưng giá hơi cao. Bìa cứng đẹp.|4|28|Creative Design
Must-read cho designer! Inspirational. Đóng gói cẩn thận.|5|28|Creative Design
Photography guide tốt! Kỹ thuật rõ ràng. Hình ảnh full HD, giấy bóng.|5|29|Nhiếp Ảnh Cơ Bản
Dễ hiểu cho newbie. Giá hợp lý. Nhưng bìa hơi mỏng.|4|29|Nhiếp Ảnh Cơ Bản
Hay! Nhiều ví dụ thực tế. Chất lượng in tuyệt vời.|5|29|Nhiếp Ảnh Cơ Bản
Sách vẽ hay! Bước by bước. Giấy sketch tốt kèm theo.|5|30|Học Vẽ Tranh
Dễ học. Nhưng giấy trong sách hơi mỏng. Giá ok.|3|30|Học Vẽ Tranh
Perfect cho beginner! Techniques đa dạng. Bìa cứng đẹp.|5|30|Học Vẽ Tranh
Âm nhạc lý thuyết hay! Notes rõ ràng. In ấn chuẩn, giấy trắng.|5|31|Nhạc Lý Cơ Bản
Dễ hiểu. Nhưng thiếu audio examples. Bìa mềm.|3|31|Nhạc Lý Cơ Bản
Bổ ích cho người học nhạc. Giá tốt, giao đúng hẹn.|4|31|Nhạc Lý Cơ Bản
Guitar tutorial hay! Tabs rõ ràng. Giấy tốt, bìa bóng.|5|32|Tự Học Guitar
Easy to follow. Nhưng QR code video không work. Giá ok.|3|32|Tự Học Guitar
Great cho beginner! Bài bản, chi tiết. Chất lượng cao.|5|32|Tự Học Guitar
Tiếng Anh giao tiếp hay! Hội thoại thực tế. Audio kèm theo tốt.|5|33|English Communication
Dễ học. Nhưng CD bị xước. Giấy ổn, bìa mềm.|3|33|English Communication
Practical! Vocabulary hữu ích. Giá hợp lý.|4|33|English Communication
IELTS preparation tốt! Practice tests nhiều. Giấy trắng, in rõ.|5|34|Cambridge IELTS
Hay nhưng đáp án có lỗi. Bìa cứng, chất lượng tốt.|4|34|Cambridge IELTS
Must-have cho thi IELTS! Updated content. Đóng gói cẩn thận.|5|34|Cambridge IELTS
Japanese beginner tốt! Hiragana Katakana rõ. Giấy tốt, màu sắc đẹp.|5|35|Minna No Nihongo
Dễ học. Nhưng thiếu audio CD. Giá hơi cao.|3|35|Minna No Nihongo
Standard textbook! Bài bản. Chất lượng in tốt.|5|35|Minna No Nihongo
Trung cơ bản hay! Pinyin chuẩn. Giấy tốt, bìa cứng.|5|36|Hán Ngữ Căn Bản
Characters rõ ràng. Nhưng exercises ít. Giá ok.|4|36|Hán Ngữ Căn Bản
Good for beginner! Structured well. Giao hàng nhanh.|5|36|Hán Ngữ Căn Bản
Toán học vui! Giải bài rõ ràng. Hình vẽ đẹp, giấy trắng.|5|37|Toán Vui Lớp 6
Dễ hiểu cho học sinh. Nhưng đáp án có sai sót. Bìa mềm.|3|37|Toán Vui Lớp 6
Bổ ích! Nhiều dạng bài. Giá rẻ, chất lượng ổn.|4|37|Toán Vui Lớp 6
Vật lý 10 hay! Lý thuyết rõ. Hình minh họa đẹp, giấy bóng.|5|38|Vật Lý 10
Dễ học. Nhưng ví dụ ít. In ấn tốt, bìa cứng.|4|38|Vật Lý 10
Great textbook! Comprehensive. Giá hợp lý.|5|38|Vật Lý 10
Hóa học 11 tốt! Công thức đầy đủ. Giấy trắng, in rõ nét.|5|39|Hóa Học 11
Nội dung đủ. Nhưng lỗi chính tả nhiều. Bìa mềm.|3|39|Hóa Học 11
Useful for students! Practice hay. Đóng gói kỹ.|4|39|Hóa Học 11
Sinh học 12 hay! Hình ảnh màu đẹp. Giấy bóng, bìa cứng.|5|40|Sinh Học 12
Comprehensive. Nhưng hơi khô khan. Giá cao.|3|40|Sinh Học 12
Good reference! Detailed content. Chất lượng tốt.|4|40|Sinh Học 12
Văn học 10 tuyệt! Phân tích sâu. Giấy tốt, bìa đẹp.|5|41|Văn Học 10
Hay cho học sinh. Nhưng thiếu đáp án mẫu. Giá ok.|4|41|Văn Học 10
Essential textbook! Well-written. Giao đúng hẹn.|5|41|Văn Học 10
Địa lý 11 hay! Bản đồ rõ nét. Giấy bóng, màu sắc đẹp.|5|42|Địa Lý 11
Thông tin đầy đủ. Nhưng bản đồ hơi nhỏ. Bìa mềm.|4|42|Địa Lý 11
Good for exam prep! Charts rõ. Giá hợp lý.|4|42|Địa Lý 11
Lịch sử 12 tốt! Timeline rõ ràng. Giấy trắng, in đẹp.|5|43|Lịch Sử 12
Nội dung chuẩn. Nhưng hình ảnh ít. Bìa cứng.|4|43|Lịch Sử 12
Comprehensive history! Must-study. Chất lượng cao.|5|43|Lịch Sử 12
GDCD hay! Ví dụ thực tế. Giấy tốt, dễ đọc.|4|44|GDCD 10
Basic but useful. Giá rẻ. Bìa mềm, nhẹ.|3|44|GDCD 10
Good for moral education! Simple. Giao nhanh.|4|44|GDCD 10
Tin học 11 hay! Code examples nhiều. Giấy trắng, in rõ.|5|45|Tin Học 11
Practical! Nhưng software cũ rồi. Bìa mềm.|3|45|Tin Học 11
Good intro to IT! Updated content. Giá ok.|4|45|Tin Học 11
Công nghệ 12 tốt! Projects hay. Hình ảnh đẹp, giấy bóng.|5|46|Công Nghệ 12
Dễ áp dụng. Nhưng thiếu video tutorials. Bìa cứng.|4|46|Công Nghệ 12
Useful for students! Creative ideas. Chất lượng tốt.|5|46|Công Nghệ 12
Sách ôn thi THPT hay! Đề thi đầy đủ. Đáp án chi tiết, giấy trắng.|5|47|Đề Thi THPT
Nhiều đề luyện. Nhưng một số đề trùng. Giá ok.|4|47|Đề Thi THPT
Must-have cho thi! Updated questions. Bìa mềm, nhẹ.|5|47|Đề Thi THPT
Đại học prep tốt! Tips hay. Giấy tốt, in rõ.|5|48|Luyện Thi Đại Học
Comprehensive review. Nhưng giá hơi cao. Bìa cứng.|4|48|Luyện Thi Đại Học
Great resource! Practice nhiều. Đóng gói cẩn thận.|5|48|Luyện Thi Đại Học

